2023-08-15 20:27:27.846 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.manage.dao.IFlowApproveDao; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.847 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.manage.dao.IFlowBomSheetDao; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.847 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.manage.dao.IFlowBomSheetDataDao; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.848 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.manage.dao.IFlowCreateDao; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.848 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.manage.dao.IInitFormDao; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.848 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.model.dao.MatchFieldRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.848 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.model.dao.ModuleColumnConfigRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.848 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.model.dao.ModuleCurateRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.849 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.model.dao.ModulePoolRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-08-15 20:27:27.849 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport isStrictRepositoryCandidate-349 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.meritdata.dam.datapacket.plan.model.dao.ModuleTreelRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
